"type","category","description"
"DDC","000","Allgemeines, Wissenschaft"
"DDC","004","Informatik"
"DDC","010","Bibliografien"
"DDC","020","Bibliotheks- und Informationswissenschaft"
"DDC","030","Enzyklopädien"
"DDC","050","Zeitschriften, fortlaufende Sammelwerke"
"DDC","060","Organisationen, Museumswissenschaft"
"DDC","070","Nachrichtenmedien, Journalismus, Verlagswesen"
"DDC","080","Allgemeine Sammelwerke"
"DDC","090","Handschriften, seltene Bücher"
"DDC","100","Philosophie"
"DDC","130","Parapsychologie, Okkultismus"
"DDC","150","Psychologie"
"DDC","200","Religion, Religionsphilosophie"
"DDC","220","Bibel"
"DDC","230","Theologie, Christentum"
"DDC","290","Andere Religionen"
"DDC","300","Sozialwissenschaften, Soziologie, Anthropologie"
"DDC","310","Allgemeine Statistiken"
"DDC","320","Politik"
"DDC","330","Wirtschaft"
"DDC","333.7","Natürliche Ressourcen, Energie und Umwelt"
"DDC","340","Recht"
"DDC","355","Militär"
"DDC","360","Soziale Probleme, Sozialdienste, Versicherungen"
"DDC","370","Erziehung, Schul- und Bildungswesen"
"DDC","380","Handel, Kommunikation, Verkehr"
"DDC","390","Bräuche, Etikette, Folklore"
"DDC","400","Sprache, Linguistik"
"DDC","420","Englisch"
"DDC","430","Deutsch"
"DDC","439","Andere germanische Sprachen"
"DDC","440","Französisch, romanische Sprachen allgemein"
"DDC","450","Italienisch, Rumänisch, Rätoromanisch"
"DDC","460","Spanisch, Portugiesisch"
"DDC","470","Latein"
"DDC","480","Griechisch"
"DDC","490","Andere Sprachen"
"DDC","491.8","Slawische Sprachen"
"DDC","500","Naturwissenschaften"
"DDC","510","Mathematik"
"DDC","520","Astronomie, Kartografie"
"DDC","530","Physik"
"DDC","540","Chemie"
"DDC","550","Geowissenschaften"
"DDC","560","Paläontologie"
"DDC","570","Biowissenschaften, Biologie"
"DDC","580","Pflanzen (Botanik)"
"DDC","590","Tiere (Zoologie)"
"DDC","600","Technik"
"DDC","610","Medizin, Gesundheit"
"DDC","620","Ingenieurwissenschaften und Maschinenbau"
"DDC","621.3","Elektrotechnik, Elektronik"
"DDC","624","Ingenieurbau und Umwelttechnik"
"DDC","630","Landwirtschaft, Veterinärmedizin"
"DDC","640","Hauswirtschaft und Familienleben"
"DDC","650","Management"
"DDC","660","Technische Chemie"
"DDC","670","Industrielle und handwerkliche Fertigung"
"DDC","690","Hausbau, Bauhandwerk"
"DDC","700","Künste, Bildende Kunst allgemein"
"DDC","710","Landschaftsgestaltung, Raumplanung"
"DDC","720","Architektur"
"DDC","730","Plastik, Numismatik, Keramik, Metallkunst"
"DDC","740","Grafik, angewandte Kunst"
"DDC","741.5","Comics, Cartoons, Karikaturen"
"DDC","750","Malerei"
"DDC","760","Druckgrafik, Drucke"
"DDC","770","Fotografie, Video, Computerkunst"
"DDC","780","Musik"
"DDC","790","Freizeitgestaltung, Darstellende Kunst"
"DDC","791","Öffentliche Darbietungen, Film, Rundfunk"
"DDC","792","Theater, Tanz"
"DDC","793","Spiel"
"DDC","796","Sport"
"DDC","800","Literatur, Rhetorik, Literaturwissenschaft"
"DDC","810","Englische Literatur Amerikas"
"DDC","820","Englische Literatur"
"DDC","830","Deutsche Literatur"
"DDC","839","Literatur in anderen germanischen Sprachen"
"DDC","840","Französische Literatur"
"DDC","850","Italienische, rumänische, rätoromanische Literatur"
"DDC","860","Spanische und portugiesische Literatur"
"DDC","870","Lateinische Literatur"
"DDC","880","Griechische Literatur"
"DDC","890","Literatur in anderen Sprachen"
"DDC","891.8","Slawische Literatur"
"DDC","900","Geschichte"
"DDC","910","Geografie, Reisen"
"DDC","914.3","Geografie, Reisen (Deutschland)"
"DDC","920","Biografie, Genealogie, Heraldik"
"DDC","930","Alte Geschichte, Archäologie"
"DDC","940","Geschichte Europas"
"DDC","943","Geschichte Deutschlands"
"DDC","950","Geschichte Asiens"
"DDC","960","Geschichte Afrikas"
"DDC","970","Geschichte Nordamerikas"
"DDC","980","Geschichte Südamerikas"
"DDC","990","Geschichte der übrigen Welt"
"DDC","B","Belletristik"
"DDC","K","Kinder- und Jugendliteratur"
"DDC","S","Schulbücher"
